"Subject","task","Date","total_correct","total_incorrect","total_nonresponses","median_rt","rtcr","rter"
"10000","complex_reasoning","04/21/2015",47,2,1,1259,1259,1360
"10001","complex_reasoning","03/09/2015",49,0,1,2639,2639,NA
"10003","complex_reasoning","05/29/2015",46,3,1,1340,1379.5,1140
"101366","complex_reasoning","06/25/2015",48,1,1,1380,1380,1680
"101657","complex_reasoning","05/28/2015",49,0,1,2259,2259,NA
"102257","complex_reasoning","06/12/2015",42,7,1,2379,2359.5,2419
"102439.01","complex_reasoning","12/08/2014",48,1,1,2080,2060,3339
"102439","complex_reasoning","12/08/2014",49,0,1,1600,1600,NA
"103364.01","complex_reasoning","07/27/2015",49,0,1,1420,1420,NA
"103907","complex_reasoning","12/10/2014",48,1,1,2080,2069.5,3299
"105577","complex_reasoning","06/04/2015",48,1,1,1979,1979,5599
"106721.01","complex_reasoning","03/30/2015",48,1,1,1939,1949.5,1879
"106722.01","complex_reasoning","03/30/2015",49,0,1,1939,1939,NA
"106880","complex_reasoning","04/26/2017",47,2,1,1080,1059,1689.5
"106936","complex_reasoning","12/04/2014",44,5,1,1999,1969.5,2060
"107196","complex_reasoning","12/16/2016",45,4,1,1400,1400,1629.5
"109545.01","complex_reasoning","05/05/2015",35,6,9,4239,3919,6288
"110140","complex_reasoning","05/04/2015",43,6,1,2959,2939,3748.5
"110661","complex_reasoning","03/23/2015",48,1,1,1359,1359.5,820
"110828","complex_reasoning","05/17/2016",48,1,1,1399,1419.5,1180
"112761","complex_reasoning","06/11/2015",48,1,1,2699,2719,1799
"113111","complex_reasoning","05/14/2015",49,0,1,1259,1259,NA
"114713","complex_reasoning","04/16/2016",47,2,1,919,919,1169.5
"115919","complex_reasoning","04/27/2015",47,2,1,3219,3199,4089.5
"117158","complex_reasoning","04/22/2015",47,2,1,1560,1560,2070
"117223","complex_reasoning","04/07/2015",49,0,1,1899,1899,NA
"117297","complex_reasoning","04/20/2015",46,3,1,1540,1539.5,2200
"117326","complex_reasoning","05/20/2015",49,0,1,2219,2219,NA
"117939","complex_reasoning","03/18/2015",49,0,1,2219,2219,NA
"118259","complex_reasoning","04/20/2015",47,2,1,1979,1979,1769
"118418","complex_reasoning","04/22/2015",48,1,1,2340,2319.5,2760
"118594","complex_reasoning","01/07/2015",49,0,1,1860,1860,NA
"118601","complex_reasoning","04/08/2015",45,4,1,2099,2199,1899.5
"118700","complex_reasoning","03/12/2015",47,2,1,1240,1240,1280
"118764","complex_reasoning","04/03/2015",46,3,1,1860,1840,2179
"118775","complex_reasoning","03/17/2015",49,0,1,1880,1880,NA
"118834","complex_reasoning","03/11/2015",48,1,1,1439,1439.5,1219
"118835","complex_reasoning","06/22/2015",47,2,1,2319,2319,2189.5
"118877","complex_reasoning","04/28/2015",48,1,1,1520,1520,1040
"118916","complex_reasoning","05/14/2015",49,0,1,2940,2940,NA
"119264","complex_reasoning","04/29/2015",33,16,1,4279,4119,4769
"119271","complex_reasoning","04/13/2015",48,1,1,2039,2029,2200
"119384","complex_reasoning","04/06/2015",44,5,1,1620,1609.5,2159
"119492","complex_reasoning","04/15/2015",45,4,1,2519,2359,4889
"119522","complex_reasoning","05/29/2015",46,3,1,2000,2030,1839
"119523","complex_reasoning","05/29/2015",46,3,1,2560,2560,2359
"119570","complex_reasoning","04/15/2015",46,3,1,1539,1559.5,1459
"119578","complex_reasoning","04/01/2015",49,0,1,1620,1620,NA
"119589","complex_reasoning","03/25/2015",49,0,1,2319,2319,NA
"119604","complex_reasoning","04/09/2015",47,2,1,2699,2620,3279
"119864","complex_reasoning","06/01/2015",47,2,1,1680,1660,2939
"119913.01","complex_reasoning","06/22/2015",48,1,1,1400,1419.5,1320
"119913","complex_reasoning","06/22/2015",47,2,1,2959,2899,4989
"121407","complex_reasoning","01/07/2015",48,1,1,1559,1539.5,2759
"122522","complex_reasoning","09/24/2015",43,6,1,1040,980,1280
"132566","complex_reasoning","03/29/2016",41,8,1,1020,1019,1559.5
"15305","complex_reasoning","2/4/15",47,2,1,1620,1620,1480
"17621","complex_reasoning","12/15/2014",46,3,1,1080,1049.5,1340
"18121","complex_reasoning","12/12/14",48,1,1,2639,2599.5,3539
"18167","complex_reasoning","10/06/2015",45,4,1,979,979,970
"18199","complex_reasoning","1/7/15",48,1,1,959,959,1099
"19494","complex_reasoning","01/26/2016",46,3,1,980,970,1099
"19525","complex_reasoning","04/22/2017",41,8,1,840,840,889.5
"19541","complex_reasoning","04/20/2016",48,1,1,1060,1060,1499
"19542","complex_reasoning","04/18/2016",48,1,1,860,859.5,899
"19607","complex_reasoning","06/28/2016",47,2,1,1760,1740,2819.5
"19615","complex_reasoning","06/21/2016",48,1,1,980,970,1100
"80557","complex_reasoning","02/24/2017",48,1,1,1259,1289,1140
"81760","complex_reasoning","04/28/2016",48,1,1,1301,1300,1579
"82039","complex_reasoning","02/06/2015",47,2,1,1159,1159,1180
"83835","complex_reasoning","02/26/2015",44,5,1,1040,1020,1360
"85853","complex_reasoning","02/22/2017",41,8,1,999,960,1759.5
"88760","complex_reasoning","02/11/2017",49,0,1,920,920,NA
"92554","complex_reasoning","05/04/2016",45,4,1,700,700,800
"92927","complex_reasoning","04/13/2017",49,0,1,2319,2319,NA
"93734","complex_reasoning","04/29/2017",48,1,1,920,910,1040
"93856","complex_reasoning","10/23/2015",46,3,1,1179,1110,1840
"98532","complex_reasoning","04/14/2017",47,2,1,1179,1160,1449.5
